Transect	Quadrant	soil.type	X	Y	NO3f	NH4f	NO3i	NH4i	NMIN	NETN	PO4	Al	Ca	K	Mg	P	SBC	SN	TotalN	TotalC			
T1	73	V	827269.8916	1152893.344	269.8624334	818.2544811	207.6394848	669.1914613	7.545927	2.222248	4.09945495	1235.098457	443.0966154	168.3110932	149.2415605	4.556394832	760.6492691	876.8309461	0.471282164	6.315180997			
T1	74	V	827270.4567	1152892.519	102.2691581	490.786925	154.0173521	426.2974767	0.455045	-1.84815	4.065517841	1300.991389	312.2409032	109.0553337	96.14697291	3.520379959	517.4432098	580.3148288	0.541333253	6.947110086			
T1	75	V	827271.0217	1152891.694	67.85335739	273.808254	123.6983542	295.5691119	-2.771638	-1.994464	2.055588107	1006.954462	735.1121926	122.2116853	177.536388	9.372147483	1034.860266	419.2674661	0.386847928	5.802718919			
T1	76	V	827271.5867	1152890.869	81.71021678	111.5341194	130.8441122	133.142118	-2.526496	-1.754782	0.33621747	1049.994552	347.6213029	117.0016875	97.85004427	0.517863187	562.4730347	263.9862302	0.366429502	4.030724521			
T1	77	V	827272.1518	1152890.044	3.761347851	185.4365329	0	288.8215026	-3.557986	0.134334	0.583477783	1132.529461	646.1265777	169.8690669	152.8928154	8.625049137	968.88846	288.8215026	0.287928701	4.126978045			
T1	78	V	827272.7168	1152889.219	31.93021198	264.8007417	47.45813815	180.645046	2.450992	-0.554569	2.398011989	1085.160777	369.9129038	87.10535907	96.15477008	0	553.173033	228.1031842	0.269723422	3.506404488			
T1	79	V	827273.2819	1152888.394	74.22806985	285.837745	75.50980692	253.0366923	1.12569	-0.045776	0.759328024	1096.469955	447.9393116	112.0973141	138.8319527	8.649135181	698.8685784	328.5464992	0.287622731	3.930843991			
T1	80	V	827273.8469	1152887.569	48.86059773	180.9469476	85.98831281	89.35384201	1.945193	-1.32599	1.921066069	977.9628319	565.2055734	141.9641006	171.3294706	1.641203113	878.4991446	175.3421548	0.343975676	4.299695952			
T1	81	V	827274.412	1152886.743	86.28549233	313.6821909	107.2113147	330.8669648	-1.361093	-0.747351	1.27977939	1187.147904	616.2479001	145.1204585	176.5333545	9.626390266	937.9017131	438.0782795	0.381884	4.582608			
T1	82	V	827274.977	1152885.918	65.15306116	374.9812682	103.1597713	304.9574637	1.143468	-1.357383	2.065750466	720.6083439	143.5576232	74.21268097	65.72046917	0.576507104	283.4907733	408.117235	0.268377042	3.399442534			
T1	83	V	827275.542	1152885.093	51.93317388	219.2943198	49.5260605	204.5381795	0.612973	0.085968	0.089007041	1023.459433	196.868266	178.5208568	84.94360968	0.897980951	460.3327325	254.06424	0.28312367	3.586233151			
T1	84	V	827276.1071	1152884.268	68.12535108	145.8847444	76.07992479	238.7076045	-3.599194	-0.284092	1.165502951	1219.43275	102.4055221	75.63374966	60.28535746	1.120081403	238.3246292	314.7875293	0.266665991	3.199991897			
T1	85	V	827276.6721	1152883.443	66.20605642	68.20309832	65.13033025	66.40884882	0.102499	0.038419	0.17293971	1095.501707	150.2092101	89.07138384	56.59399783	1.713610647	295.8745918	131.5391791	0.291431042	3.594316183			
T1	86	V	827277.2372	1152882.618	81.77963759	135.1266755	98.34129563	115.4019766	0.112966	-0.591488	0.607140356	1296.351842	221.6539004	87.2855335	68.2789581	1.110237531	377.218392	213.7432722	0.276707022	3.689426964			
T1	87	V	827277.8022	1152881.793	114.1996638	352.0286152	159.699961	337.4634593	-1.104826	-1.625011	0	1178.671247	137.3088169	61.40558969	54.22026845	1.947257744	252.934675	497.1634203	0.28115044	4.029822971			
T1	88	V	827278.3672	1152880.968	137.6737024	579.3699668	164.1638664	552.7856458	0.003363	-0.946077	3.645402484	994.7480721	226.0708483	93.95720234	69.22319926	4.258536859	389.2512499	716.9495122	0.344104665	3.957203646			
T1	89	V	827278.9323	1152880.143	70.76160169	538.6955966	62.59112338	334.0666063	7.599981	0.291803	0	1072.980296	254.2960069	71.77538883	75.49203288	1.331212306	401.5634286	396.6577297	0.278860857	3.532237518			
T1	90	V	827279.4973	1152879.318	139.5849924	123.2798898	167.8219243	96.2161015	-0.041898	-1.008462	0.676104435	964.648443	383.0921249	90.65710109	91.01087587	2.565008901	564.7601019	264.0380258	0.258750187	3.018752178			
T1	91	V	827280.0624	1152878.493	63.37055004	423.8538678	60.97175078	391.4945925	1.24136	0.085671	0.1800902	936.0234827	319.7737996	77.64568147	67.50627141	8.615428656	464.9257525	452.4663433	0.279859758	3.171743929			
T1	92	V	827280.6274	1152877.668	79.36038747	317.6471153	92.12301703	266.1615146	1.382963	-0.455808	2.127704278	1053.883075	223.4879522	84.07837057	67.87085881	1.310256602	375.4371816	358.2845316	0.264510442	3.17412531			
T1	93	V	827281.1924	1152876.843	115.2096411	212.4941581	115.361659	239.9978273	-0.987703	-0.005429	0	1236.169221	321.6765572	116.3144923	73.39912391	9.056017916	511.3901734	355.3594863	0.286872	4.207456			
T1	94	V	827281.7575	1152876.018	61.8222474	243.4458102	82.28573616	223.3929368	-0.014665	-0.730839	0	1188.572933	383.2810205	65.32879372	90.71760049	1.516353761	539.3274147	305.678673	0.271323	3.436758			
